Versao,N,duration,Speedup,Eficiencia
Distribuido,16,0.009138,1.81676,0.45419
Distribuido,32,0.040309,2.627877,0.656969
Distribuido,64,0.22474,3.452294,0.863074
Distribuido,128,2.101222,3.13755,0.784388
Distribuido,256,17.080507,3.078982,0.769745
Paralelo,16,0.020993,0.790844,0.197711
Paralelo,32,0.074182,1.427925,0.356981
Paralelo,64,0.34218,2.267425,0.566856
Paralelo,128,2.202015,2.993936,0.748484
Paralelo,256,17.169269,3.063064,0.765766
Sequencial,16,0.016602,1.0,0.25
Sequencial,32,0.105926,1.0,0.25
Sequencial,64,0.775868,1.0,0.25
Sequencial,128,6.59269,1.0,0.25
Sequencial,256,52.590568,1.0,0.25
